Dateofbill,DrugName,Is_Weekend,Lag_7,Lag_14,Lag_30,Quantity_MA,Final_Sales_MA
2022-12-31,746.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,746.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,746.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,746.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,746.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,746.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,746.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,120.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,120.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,120.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,120.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,120.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,120.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,120.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,222.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,222.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,222.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,222.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,222.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,222.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,222.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,743.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,743.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,743.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,743.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,743.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,743.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,743.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,411.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,411.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,411.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,411.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,411.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,411.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,411.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,634.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,634.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,634.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,634.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,634.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,634.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,634.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,271.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,271.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,271.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-03,271.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-04,271.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-05,271.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-06,271.0,False,0.0,423.0,143.22,5.0,238.70000000000002
2022-12-31,658.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-01,658.0,True,0.0,423.0,143.22,5.0,238.70000000000002
2023-01-02,658.0,False,0.0,423.0,143.22,5.0,238.70000000000002
